sequence_id,frame_index,timestamp_ms,ground_truth_label,model_label,model_confidence,top2_margin,proposal_label,proposal_state,controller_mode,expected_label,final_action,action_accepted,rejection_reason,cooldown_remaining,risk_cost,task_id,task_step
direct_c6:task_object_control_01,0,0,point_2f,no_gesture,1.0,1.0,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,1,33,point_2f,no_gesture,0.550945,0.274915,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,2,66,point_2f,no_gesture,0.533836,0.240649,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,3,99,point_2f,no_gesture,0.534273,0.244534,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,4,132,point_2f,no_gesture,0.51817,0.21416,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,5,165,point_2f,no_gesture,0.51791,0.220181,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,6,198,point_2f,no_gesture,0.518375,0.223421,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,7,231,point_2f,no_gesture,0.506183,0.202469,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,8,264,point_2f,no_gesture,0.505908,0.204745,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,9,297,point_2f,no_gesture,0.507744,0.216306,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,10,330,point_2f,no_gesture,0.501687,0.209593,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,11,363,point_2f,no_gesture,0.499478,0.206392,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,12,396,point_2f,no_gesture,0.493355,0.203659,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,13,429,point_2f,no_gesture,0.409835,0.05595,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,14,462,point_2f,no_gesture,0.405408,0.046331,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,15,495,point_2f,no_gesture,0.404685,0.038495,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,16,528,point_2f,no_gesture,0.407467,0.03876,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,17,561,point_2f,no_gesture,0.399949,0.038045,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,18,594,point_2f,no_gesture,0.404258,0.038455,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,19,627,point_2f,no_gesture,0.400789,0.038125,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,20,660,point_2f,no_gesture,0.401963,0.038236,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,21,693,point_2f,no_gesture,0.410333,0.039033,no_gesture,idle,direct_c6,,idle,False,idle,0,0.0,object_control,object_point
direct_c6:task_object_control_01,22,726,point_2f,click_2f,0.506312,0.187898,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,23,759,point_2f,click_2f,0.508473,0.1887,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,24,792,point_2f,click_2f,0.526225,0.217069,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,25,825,point_2f,click_2f,0.526182,0.217051,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,26,858,point_2f,click_2f,0.525211,0.216651,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,27,891,point_2f,click_2f,0.51935,0.214233,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,28,924,point_2f,click_2f,0.516914,0.213228,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,29,957,point_2f,click_2f,0.521097,0.214953,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,30,990,point_2f,click_2f,0.520795,0.214829,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,31,1023,point_2f,click_2f,0.512692,0.211486,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,32,1056,point_2f,click_2f,0.523887,0.211866,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,33,1089,point_2f,click_2f,0.494214,0.177197,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,34,1122,point_2f,click_2f,0.48651,0.159853,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,35,1155,point_2f,click_2f,0.478759,0.135183,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,36,1188,point_2f,click_2f,0.456096,0.107613,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,37,1221,point_2f,click_2f,0.445251,0.092805,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,38,1254,point_2f,click_2f,0.431523,0.064569,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,39,1287,point_2f,click_2f,0.428841,0.053434,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,40,1320,point_2f,click_2f,0.437844,0.068665,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,41,1353,point_2f,click_2f,0.450542,0.092684,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,42,1386,point_2f,click_2f,0.464679,0.106314,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,43,1419,point_2f,click_2f,0.475078,0.142217,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,44,1452,point_2f,click_2f,0.483966,0.147868,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,45,1485,point_2f,click_2f,0.499863,0.171615,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,46,1518,point_2f,click_2f,0.526386,0.21556,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,47,1551,point_2f,click_2f,0.54261,0.223828,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_point
direct_c6:task_object_control_01,48,1584,no_gesture,click_2f,0.523592,0.215982,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,49,1617,no_gesture,click_2f,0.529148,0.218274,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,50,1650,no_gesture,click_2f,0.526784,0.2173,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,51,1683,no_gesture,click_2f,0.528652,0.21807,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,52,1716,no_gesture,click_2f,0.535535,0.220909,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,53,1749,no_gesture,click_2f,0.535445,0.220872,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,54,1782,no_gesture,click_2f,0.530362,0.218775,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,55,1815,no_gesture,click_2f,0.528117,0.217849,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,56,1848,no_gesture,click_2f,0.46367,0.091307,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,57,1881,no_gesture,click_2f,0.462371,0.091051,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,58,1914,no_gesture,click_2f,0.439779,0.086602,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,59,1947,no_gesture,click_2f,0.444195,0.087472,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,60,1980,no_gesture,click_2f,0.443037,0.087243,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,61,2013,no_gesture,click_2f,0.456219,0.089839,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,62,2046,no_gesture,click_2f,0.444086,0.08745,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,63,2079,no_gesture,click_2f,0.443234,0.087282,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,64,2112,no_gesture,click_2f,0.43513,0.082107,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,65,2145,no_gesture,click_2f,0.464941,0.113756,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,
direct_c6:task_object_control_01,66,2178,click_2f,click_2f,0.461095,0.096696,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,67,2211,click_2f,click_2f,0.440592,0.079431,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,68,2244,click_2f,click_2f,0.48041,0.150726,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,69,2277,click_2f,click_2f,0.461994,0.126355,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,70,2310,click_2f,click_2f,0.467894,0.127621,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,71,2343,click_2f,click_2f,0.46735,0.115041,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,72,2376,click_2f,click_2f,0.458651,0.106839,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,73,2409,click_2f,click_2f,0.444673,0.096739,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,74,2442,click_2f,click_2f,0.448648,0.082091,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,75,2475,click_2f,click_2f,0.444374,0.077484,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,76,2508,click_2f,click_2f,0.429124,0.058829,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,77,2541,click_2f,click_2f,0.424336,0.047902,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
direct_c6:task_object_control_01,78,2574,click_2f,click_2f,0.504788,0.176405,click_2f,accepted,direct_c6,,select_confirm,True,,0,2.0,object_control,object_select
