method,effective_predictor,recognition_accuracy,macro_f1,segment_f1,false_positives_per_minute,label_switch_rate,decision_latency_ms,accepted_actions,rejected_actions,false_action_cost,missed_action_cost,action_precision,action_recall,task_completion,confident_completion,task_success
direct_c6,c6_ensemble,0.357601,0.334014,0.489796,52.447552,51.615052,468.988235,3218,0,4061.25,5.5,0.029776,0.953509,0.05752,0.0,0.0
c6_smoothing,c6_ensemble,0.33631,0.315048,0.541353,40.792541,41.208791,508.588235,3202,0,4038.25,8.0,0.029222,0.931579,0.056425,0.0,0.0
c6_temporal_stabilized,c6_ensemble,0.307463,0.286238,0.564516,34.132534,35.381285,555.036145,3172,0,3989.75,9.5,0.029338,0.920092,0.056637,0.0,0.0
c6_validation_confidence_only,c6_ensemble,0.351877,0.327882,0.494845,51.198801,51.198801,475.588235,1037,462,900.25,13.75,0.113961,0.88325,0.198483,0.0,0.0
c6_validation_confidence_stability,c6_ensemble,0.35554,0.331921,0.493151,51.615052,52.031302,475.976471,1010,572,858.75,13.75,0.120787,0.88325,0.208324,0.0,0.0
c6_validation_confidence_stability_cooldown,c6_ensemble,0.357372,0.333752,0.489796,52.447552,51.615052,469.376471,560,2355,167.5,17.75,0.487536,0.849916,0.5783,0.666667,0.041667
c6_validation_tarc,c6_ensemble,0.356685,0.333101,0.489796,52.447552,51.615052,469.764706,461,2543,101.5,16.75,0.607375,0.85825,0.669003,0.875,0.083333
c6_validation_tarc_release,c6_ensemble,0.357143,0.333547,0.489796,52.447552,51.615052,469.376471,437,2638,95.75,50.5,0.541589,0.580221,0.521683,0.541667,0.083333
landmark_controller,c6_ensemble,0.121795,0.077115,0.155172,138.195138,138.195138,601.071429,4018,0,1650.5,39.75,0.045421,0.667356,0.084807,0.0,0.0
landmark_controller_tarc,c6_ensemble,0.14011,0.099582,0.267559,67.848818,69.51382,531.0,1494,2313,391.75,53.5,0.152873,0.552235,0.237638,0.083333,0.0
